author_id,created_at,text
ChipotleTweets,15_05_2022_18_32,@115980 🙏 -Becky
115980,15_05_2022_18_32,It's Halloween and my total at @ChipotleTweets was $6.66.....
ChipotleTweets,15_05_2022_18_32,@115981 See I think that means your family loves you. -Becky
115981,15_05_2022_18_32,I think my family hates me! They made me get @ChipotleTweets on Halloween! #3dollarburrito
ChipotleTweets,15_05_2022_18_32,@115982 That sounds so epic. -Becky
115982,15_05_2022_18_32,@ChipotleTweets it was becky it was.
115982,15_05_2022_18_32,i just walked into @ChipotleTweets wearing my mermaid man costume to get a $3 burrito &amp; I’ve never felt more alive
ChipotleTweets,15_05_2022_18_32,@115983 Agreed. -Becky
115983,15_05_2022_18_32,If you don't pull out that old costume and get a $3 burrito from @ChipotleTweets you are crazy.
ChipotleTweets,15_05_2022_18_32,"@115984 Nicely done! Your makeup is on point, my friend. -Becky"
115984,15_05_2022_18_32,Looking to get a @ChipotleTweets burrito for $3 🌯💀 https://t.co/6xGry0hKUC
ChipotleTweets,15_05_2022_18_32,"@115985 Thanks for the shout out, and thanks for stopping by! -Becky"
115985,15_05_2022_18_32,A burrito bowl from @ChipotleTweets for just $3...heck yes!! From now till close go in w/ your Halloween costume and get the deal. #12News https://t.co/3LgsDiLruM
ChipotleTweets,15_05_2022_18_32,@115986 That's definitely unBOOlievable. Please tell us more so we can help: https://t.co/Ax7W1Dx3Y9 -Becky
115986,15_05_2022_18_32,"@ChipotleTweets Thanks, Becky! We were able to go back to Chipotle at 4pm and got our BOOritos."
ChipotleTweets,15_05_2022_18_32,@115986 We appreciate you coming back! -Becky
115986,15_05_2022_18_32,@ChipotleTweets Just got ghosted by Chipotle :( Went in at 3pm and was told we had to wait another hour for #BOOritos! UnBOOlievable.
ChipotleTweets,15_05_2022_18_32,"@115987 As long as it fits comfortably inside your meal, it's $3. -Becky"
115987,15_05_2022_18_32,"@ChipotleTweets is extra meat, guac, and queso included in the boorito?"
VerizonSupport,15_05_2022_18_32,"@115988 Does this bill say Final Bill?
^ACM"
115988,15_05_2022_18_32,@VerizonSupport no! it just says amount due $27.04
VerizonSupport,15_05_2022_18_32,"@115988 Can you please follow and DM us. 
^ACM"
115988,15_05_2022_18_32,@VerizonSupport All outstanding dues before 20th sept has been paid off
115988,15_05_2022_18_32,Why am I still receiving a bill for oct when I disconnected by account on sept 20th? pls advise &amp; reverse the charges. @115722
VerizonSupport,15_05_2022_18_32,"@115989 We'll refer this to our wireless colleagues @115990 since we handle Fios and DSL accounts. They will be in touch. 
^HSB"
115989,15_05_2022_18_32,"@VerizonSupport ever since I upgraded to Ulimited Data, my LTE speeds are TERRIBLE 😡 Is there a fix?!"
VerizonSupport,15_05_2022_18_32,"@115991 We can help right here. Follow and DM us.
^JAY"
115991,15_05_2022_18_32,@verizonsupport why tf does my internet keep going down this is bullshit
AskPayPal,15_05_2022_18_32,@115992 Hello! Thank you for reaching out to us. Send us a DM for further assistance. ^ML
115992,15_05_2022_18_32,@115993 @AskPayPal “If I don’t provide the required information by 15 Feb 1970” https://t.co/zTVGb15FH6
AskPayPal,15_05_2022_18_32,@115994 Glad we could help you out! :D ^DP
115994,15_05_2022_18_32,THANK YOU!!! @ASKPAYPAL YOU ARE A REAL MVP!!!
AskPayPal,15_05_2022_18_32,@115995 Hi there! Please send me a DM! ^RA
115995,15_05_2022_18_32,@115996 can you please help me recovering my hard earned money i lost in a cyber crime on @115993 . PayPal case ID is PP-006-234-348-863
AskPayPal,15_05_2022_18_32,"@115997 I've just responded to your DM, please check your inbox at your earliest convenience. Thank you for your patience! ^KT"
115997,15_05_2022_18_32,"@AskPayPal Hello, I'd like to add tracking info to my invoice but the ""Add tracking info"" link always lead to blank page. Please help."
AskPayPal,15_05_2022_18_32,"@115998 Hi there, we've replied to your DM! ^RA"
115998,15_05_2022_18_32,@115993 are you kidding me with this customer service! It’s terrible.
AskPayPal,15_05_2022_18_32,@115999 I am sorry to hear about this trouble you are running into. Please send me a DM and I can help you further. ^GA
115999,15_05_2022_18_32,"@AskPayPal I set up a paypal account before i was 18. Fair play, my bad. Was wondering if i could shut down the account so i can restart it now im 18?"
AskPayPal,15_05_2022_18_32,"@115999 Sadly we cannot close this account until you are 18, but we can close this account once you are 18 and you can op... https://t.co/hIEXXEzY1f"
115999,15_05_2022_18_32,@AskPayPal I am 18
AskPayPal,15_05_2022_18_32,@115999 Sorry for the confusion. Please DM me and I can help you. ^GA
115999,15_05_2022_18_32,@AskPayPal i have a serious problem i need help with.
AskPayPal,15_05_2022_18_32,@116000 I am sorry to hear about this trouble with accessing your account. Please send me a DM and I can help you further. ^GA
116000,15_05_2022_18_32,@AskPayPal Been locked out of my account for 2 hrs. 2 different agents have “reset my account for me” &amp; still no dice as soon as they get off phone
116000,15_05_2022_18_32,"Good morning, a @AskPayPal customer service rep just made me cry."
AskPlayStation,15_05_2022_18_32,@116001 Glad to help! We have sent you a DM looking forward help you?
116001,15_05_2022_18_32,@AskPlayStation can you dm me I have a question
AskPlayStation,15_05_2022_18_32,"@116002 Hi there, Sorry to hear that, Are you getting an error message or an error code, Let us know more details please?"
116002,15_05_2022_18_32,@AskPlayStation It’s ok I fixed it thanks
AskPlayStation,15_05_2022_18_32,"@116002 Glad to hear that, Feel free to message us again here if you need help."
116002,15_05_2022_18_32,@AskPlayStation but out of the games the buttons work solutions?
116002,15_05_2022_18_32,@AskPlayStation My PS4 lets me load up games but then I can’t do anything in them eg Fortnite can’t press X to continue
AskPlayStation,15_05_2022_18_32,@116003 Lamentamos el inconveniente. Por favor siguenos en Twitter para brindarte asistencia por mensajes directos.
116003,15_05_2022_18_32,"@AskPlayStation compre una tarjeta de 50$, la metí y no se me acreditaron los 50$, me sale que revise los términos. ¿Que hago?"
AskPlayStation,15_05_2022_18_32,"@116004 Very odd. Please turn off the console and disconnect all the cables from it for 3 minutes, then try again."
116004,15_05_2022_18_32,Yo my PS4 has been turning on by itself recently and constantly ejecting the game disc that's in. What the heck is going on? @AskPlayStation
AskPlayStation,15_05_2022_18_32,@116005 Glad to help! We have sent you a Direct Message via Twitter with further instructions.
116005,15_05_2022_18_32,@AskPlayStation My account is telling me to reset my password but i dont know my date of birth but i know my password for the account. help
AskPlayStation,15_05_2022_18_32,"@116006 Hi there, Have you tried accessing this content from your download queue: https://t.co/lyTEIVBTBn
Let us know the results."
116006,15_05_2022_18_32,"@AskPlayStation my psn id quochuy046, can you help me? Or can I email someone a try for help? live chat on web block me? wtf?"
116006,15_05_2022_18_32,"@AskPlayStation I have followed your instructions, but not, my ps4 has set up automatic download, and find in library there is no diablo 3 nercromancer"
116006,15_05_2022_18_32,"@AskPlayStation  i have bought dlc diablo 3 necromancer and hav phys disc D3 ROS but when i click necromaner pack on game , dont download https://t.co/JDdn50e0wo"
AskPlayStation,15_05_2022_18_32,@116007 Please check your DM's for more instructions.
116007,15_05_2022_18_32,"@AskPlayStation Less a billing issue (I updated the exp date in acct), more ps+ wasn't able to renew. How do i make sure it stays current/not lose anything?"
AskPlayStation,15_05_2022_18_32,"@116007 Sorry to hear that! For billing issues, please follow the steps in the next link: https://t.co/7atHEqJw8n"
116007,15_05_2022_18_32,"@AskPlayStation not sure why my CC in my acct had an incorrect date, but my renewal for ps+ failed. How can I correct this?"
AskPlayStation,15_05_2022_18_32,"@116008 Hi there! For assistance please follow us and send us a Direct Message, we look forward to your reply."
116008,15_05_2022_18_32,@AskPlayStation please help
116008,15_05_2022_18_32,@AskPlayStation hi I accidentally bought a psp game on the PlayStation store thinking it was for ps3. I don’t have a psp. can I return it?
AskPlayStation,15_05_2022_18_32,@116009 Glad to help!  Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions.
116009,15_05_2022_18_32,I preordered the standard edition of cod ww2. Can I change it to deluxe edition somehow @AskPlayStation
AskPlayStation,15_05_2022_18_32,@116010 Sorry to read that. Please check your DMs for assistance.
116010,15_05_2022_18_32,@AskPlayStation someone got to my account and changed the email
HPSupport,15_05_2022_18_32,"@116011 To better assist you, click on the option below and reply. Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1"
116011,15_05_2022_18_32,@HPSupport [Laserjet Pro M102w will not print. Drivers install and windows finds printer but I get an error] #hpcswus #hpprnt
HPSupport,15_05_2022_18_32,"@116011 Hey Jacob, I'm here to help! Let's run print and scan doctor: https://t.co/EaeoxKeULN ...1/2"
HPSupport,15_05_2022_18_32,@116012 below and reply. Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1
116012,15_05_2022_18_32,@HPSupport Im sending my notebook in for hard drive replacement. Is it alright if I format the drive to factory defaul first? #hpcswus #hppc
HPSupport,15_05_2022_18_32,@116013 Fill the web form using this link to reach them- https://t.co/0jQc5ucYzc Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1
116013,15_05_2022_18_32,@HPSupport I would like to speak to a technician #hpsa #hpprnt
HPSupport,15_05_2022_18_32,"@116013 Hey Daniel, I'm here to help! If you wish to speak to someone then you need to contact HP phone support. ...1/2"
ChaseSupport,15_05_2022_18_32,@116014 2/2 to the merchant's site to make the purchase. ^BG
116014,15_05_2022_18_32,"@ChaseSupport Sounds good, thanks!"
116014,15_05_2022_18_32,Hi @ChaseSupport do I have to go through the Chase Online Ultimate Rewards webpage to get the extra cash back when I shop?
ChaseSupport,15_05_2022_18_32,"@116014 1/2 Hello, in order to get the cash back, you'll need to click the link from the Ultimate Rewards website. You'll be routed"
ChaseSupport,15_05_2022_18_32,"@116015 We appreciate the kind words. If you have questions or concerns, please let us know. We're here to help. ^CR"
116015,15_05_2022_18_32,"I've had some ups and downs from banking with Chase, but lately they've been really good to me. So shoutout to you @116016 👏✊"
ChaseSupport,15_05_2022_18_32,@116017 I’d like to review this further for you. Could you please DM your name &amp; zip code? ^BG https://t.co/znUu1VJn9r
116017,15_05_2022_18_32,Hey @116016 we're gonna need to talk about all these pending charges that keep going through my account 5 days after the transaction was made.... I'm getting real irritated.
ChaseSupport,15_05_2022_18_32,@116018 We're glad we were able to help! ^JG
116018,15_05_2022_18_32,"@ChaseSupport Just got off the phone with them, you guys were great!"
ChaseSupport,15_05_2022_18_32,@116018 Aw! It's our pleasure to help. Let us know if we can be of additional assistance. ^JG
116018,15_05_2022_18_32,@ChaseSupport Thanks guys!
ChaseSupport,15_05_2022_18_32,@116018 We would be happy to look into this for you. Could you DM your name and zip code? ^JG https://t.co/znUu1VJn9r
116018,15_05_2022_18_32,"@ChaseSupport I couldn't find an e-mail online. You have my apartment address but not my number, how can I update that to ensure the card gets to me?"
116018,15_05_2022_18_32,"@ChaseSupport I applied for a credit card and but i was never asked for my apt #, tried calling but couldn't get past your automated system."
CoxHelp,15_05_2022_18_32,"@116019 Hello, this does not sound good.  Can you DM the account name and complete service address? We would like to help.  -Dan"
116019,15_05_2022_18_32,@CoxHelp Had to push hard but finally got a team lead to reach out to on-call tech. Outage issue solved; #CSIssue not #CSFail
116019,15_05_2022_18_32,Next day turnaround on an outage issue? @CoxHelp for the #CSFail when it comes to dealing with outages #CSFail #OutageProbs
CoxHelp,15_05_2022_18_32,"@116020 Hi 🎃 Fɍ1sꝀɇNsŦɇƗn 👻, please DM account info including street address so we can look into this.  -Greg https://t.co/ovAKPb0TYC"
116020,15_05_2022_18_32,@CoxHelp It needs to be fixed. Permanently. Now.
CoxHelp,15_05_2022_18_32,@116020 I don't want you to feel this way. What's going on? -Colleen
116020,15_05_2022_18_32,"So @116021 is back fucking me again with my BUSINESS plan internet.

Super cool company.

I don't recommend."
CoxHelp,15_05_2022_18_32,"@116022 Hello, this does not sound good.  Can you DM the account name and complete service address? We would like to help.  -Dan"
116022,15_05_2022_18_32,I’d like at least one month to go by where I don’t have to say how crappy the service is with @116021 in #Vegas &amp; how much I despise them
CoxHelp,15_05_2022_18_32,"@116023 Hi Jean-Claude, I hope you do not have any service interruptions. If you need assistance, reach out to us. -Mike"
116023,15_05_2022_18_32,@CoxHelp I just did.
CoxHelp,15_05_2022_18_32,"@116023 Hi, the outage is still open in your area and working to get it restored as quickly as possible. Thanks for your patience. -Mary"
116023,15_05_2022_18_32,@CoxHelp Been lookong forward to binge on #StrangerThingsSeason2 just hope we have internet. a lot of outages in the neighborhood lately.
CoxHelp,15_05_2022_18_32,@116024 Okay great! If you have any further concerns please reach out to us. -Xavier
116024,15_05_2022_18_32,"@116021 Seems like my problem has been resolved, the technicians you sent to the house were very capable and surpassed expectations"
AskeBay,15_05_2022_18_32,@116025 Have you asked the seller yet where it is? See https://t.co/n4jUdNSd5z as they may be able to help out! ^D
116025,15_05_2022_18_32,@AskeBay I have contacted seller but my question to you is when will I receive my product. Your customer service says may be the awb no.  is wrong.
116025,15_05_2022_18_32,@AskeBay I don't care about that I want my product. . I wish I had not opted ebay.but in future I am not going to choose eBay . Because Its the worst
AskeBay,15_05_2022_18_32,"@116025 The seller should have delivered it by then, but as you don't have it just see https://t.co/Yh3pSrspGY if the seller can't help! ^D"
116025,15_05_2022_18_32,@AskeBay I haven't received it as of yet. And I have a contract with you for the delivery of product not with seller.
116025,15_05_2022_18_32,"@AskeBay So, instead of telling me to contact the seller you guys should contact the seller."
AskeBay,15_05_2022_18_32,"@116025 The contract is between you and the seller! They shipped it, but we protect you if you didn't get it if you open a case. ^D"
116025,15_05_2022_18_32,@AskeBay I haven't received anything as of yet. I'll contact seller tomorrow morning. But your service is pathetic.
AskeBay,15_05_2022_18_32,@116025 Did you view our link? We can give a refund if you don't get it! Just look at our guarantee for steps on activating it. ^D
116025,15_05_2022_18_32,@AskeBay I would appreciate that I got the refund of my previous damaged product from eBay. But where are the timelines for delivery.
116025,15_05_2022_18_32,@AskeBay The email address associated with my account is __email__ .
116025,15_05_2022_18_32,@AskeBay I'm not looking for the refund. Just check my account and you would yourself condemn your service and worst packing .
116025,15_05_2022_18_32,@AskeBay And I haven't received it yet so in layman terms you can say I'm Waiting for it from 9th of Oct. How much time can I wait.
116025,15_05_2022_18_32,@AskeBay and so you have provided me the refund for that. But as I was mad about this product so I ordered the same product on 21st .
116025,15_05_2022_18_32,@AskeBay I am looking for the product. Let me tell you something. I bought a similar product on 9th of this month. But that was damaged  .
AskeBay,15_05_2022_18_32,"@116025 If you still can't see this, please DM us your full name, Zip code &amp; item number &amp; we'll advise on this date for you. 2/2^ML"
116025,15_05_2022_18_32,@AskeBay And check with your team. Or else keep my fucking money as you guys have stressed me out. ?@61113
116025,15_05_2022_18_32,@AskeBay @2598 kindly check the above message and do the needful for your worst service.
AskeBay,15_05_2022_18_32,@116025 Thank you for your reply. The estimate delivery date for this order will be available to view in your ‘Purchase History’.1/2
116025,15_05_2022_18_32,"@115937 Estimated delivery Wed, 25 Oct - Fri, 27 Oct
You have paid using PaisaPay on 21/10/17. 
but i havent received it yet on 1/11/17."
AskeBay,15_05_2022_18_32,@116026 You can always open a claim https://t.co/xlN11csEfc to get the ball rolling on that coverage! ^BB
116026,15_05_2022_18_32,@AskeBay I did that they closed my case have I lost £120 pounds now because of eBay theft and eBay does not care
AskeBay,15_05_2022_18_32,@116026 Well I would be more than happy to take a look at that claim for you. Could you DM us with more details please? ^BB
116026,15_05_2022_18_32,@AskeBay The delivery company is saying they delivered it to my street won't give address the seller is saying she has proof but no one will show me
AskeBay,15_05_2022_18_32,@116026 Hey James - Could you send us a DM with all the information so we can look into that for you? ^BB
116026,15_05_2022_18_32,@AskeBay what option do I have if I bought something on eBay and wasn't delivered and eBay closed my claim to get the money back?
AskeBay,15_05_2022_18_32,@116027 On a desktop go to item page (view item) &gt; Manage Offers &gt; Change offer settings. You can get that going here. ^CC
116027,15_05_2022_18_32,@AskeBay How do I setup automatic declines? Its not listed in your help centre and I’m struggling to find the settings
AskeBay,15_05_2022_18_32,@116027 This is to help sell your items. Be sure to set up Automatic Decline in your settings so you don't have to see low offers. ^CC
116027,15_05_2022_18_32,@AskeBay can you remove the best offer facility from buy it now items?? I am selling items that I do not wish to offer ‘best offer’
DropboxSupport,15_05_2022_18_32,@116028 ...Cancel Dropbox Business. Hope this helps take care of things for you. 😊 2/2
116028,15_05_2022_18_32,@116029 How can I change my work Dropbox account back to a personal account? I tested the trial version now I want my account to be personal again.
116029,15_05_2022_18_32,We’re excited to announce the University of Cambridge is using Dropbox Business to power collaboration. https://t.co/SBIyDSyCDK https://t.co/3f69m3x5gF
DropboxSupport,15_05_2022_18_32,"@116030 Hey Justin, apologies for the delay, are you still unable to access the eBook? https://t.co/XvZzHN3eu0 Let us know, thanks!"
116030,15_05_2022_18_32,@116029 FYI was on your solutions/marketing of DB Business and noticed the read the eBook link is broken... https://t.co/aRWCfgYMoO
DropboxSupport,15_05_2022_18_32,"@116031 We understand, and we’ve added your comments to your suggestion. Cheers!"
116031,15_05_2022_18_32,"@DropboxSupport Please do! “As a user, I would like to hide irrelevant or old contacts from suggestions, in order to make room for relevant ones.” :)"
DropboxSupport,15_05_2022_18_32,"@116031 Hi there, currently it isn’t possible to hide the suggestion list, however we can certainly forward this request to our dev team!"
116031,15_05_2022_18_32,"@DropboxSupport How do I remove the suggested contacts in ""Invite people to Paper"" column? I don't have any third party contacts connected."
VirginAtlantic,15_05_2022_18_32,"@116032 Hey James, when did you fly? ^E"
116032,15_05_2022_18_32,@VirginAtlantic can you please update my tier points on my account - thanks.
VirginAtlantic,15_05_2022_18_32,@116033 Sorry to hear this process was so frustrating. ^N
116033,15_05_2022_18_32,"@VirginAtlantic 3 times over an hour on the phone, let’s just hope everything is correct now I’d hate for something to be wrong for a special occasion"
VirginAtlantic,15_05_2022_18_32,@116033 Have you spoken to our team on the phone about this? What were you advised? ^H
116033,15_05_2022_18_32,"3rd call to @VirginAtlantic hoping everything is sorted, booked flights for 4 guys and 2 peoples details were incorrect should I be worried?"
BofA_Help,15_05_2022_18_32,@116034 You can send us a message by clicking the link below. ^cr https://t.co/CoOXedUuUC
116034,15_05_2022_18_32,"@116035 refuses to provide me with a copy of my contract, even though they’re quoting it to justify stealing $800 from me"
BofA_Help,15_05_2022_18_32,"@116034 Hello, we'd like to know more about your Twitter post. Please send us additional details about your concerns. Thank you. ^cr"
BofA_Help,15_05_2022_18_32,@116036 Thank you for taking the time to speak with us today. We appreciate the opportunity to help. ^mg
116036,15_05_2022_18_32,@BofA_Help Thanks
BofA_Help,15_05_2022_18_32,@116036 Thank you for your patience. We'll call you shortly. ^mg
BofA_Help,15_05_2022_18_32,@116037 I made another try to call you and reached your voice-mail. Please return my call at the # given if you still need help. ^kl
116037,15_05_2022_18_32,@BofA_Help Anytime after 12noon today or anytime tomorrow
BofA_Help,15_05_2022_18_32,@116037 We’re here from 8:00 am-9:00 pm ET Monday-Friday and 11:00 am-8:00pm ET Saturday. When is the best time to reach you? ^ra
116037,15_05_2022_18_32,@BofA_Help Whenever your ready
BofA_Help,15_05_2022_18_32,@116037 I am sorry I missed your call. Please let me know when you are able to talk about your information. ^kl
116037,15_05_2022_18_32,"@BofA_Help Okay, I'm currently on the middle of something, I will return your call shortly thank you"
BofA_Help,15_05_2022_18_32,@116037 I called and left a message for you. Please return my call at the number provided or DM me when you are available.  ^kl
116037,15_05_2022_18_32,"@BofA_Help Thank you because I just was beginning to become comfortable with you all, Everything was going great"
BofA_Help,15_05_2022_18_32,@116037 I'm sorry to see this and want to see how I can help. I will give you a call at the number you previously sent. ^kt
116037,15_05_2022_18_32,"@116035 the the woman says, were regulated by the government they won't let us help you..She literally just blamed the government"
BofA_Help,15_05_2022_18_32,"@116038 Hello, do you have any account related concerns that we can help with? Our Social Care Team is here if you need us. Thanks. ^cr"
116038,15_05_2022_18_32,@116035 i have a question
XboxSupport,15_05_2022_18_32,"@116039 Hi, can you direct message us and explain what issue you need assistance with? ^RM"
116039,15_05_2022_18_32,@XboxSupport week 2 licence wont' validate my minecraft for windows 10 https://t.co/GbY14vW0FP
XboxSupport,15_05_2022_18_32,"@116040 Hello! Most of the time connecting via ethernet can help, or restarting the console, router, and download. ^CO"
116040,15_05_2022_18_32,"@XboxSupport Connection via Ethernet not possible where he is, also there's no file to delete &amp; restart as said before he's done a power cycle?"
XboxSupport,15_05_2022_18_32,"@116040 Canceling the download, powering down the console, unplugging for five full minutes (this clears the cache), and try again. ^CO"
116040,15_05_2022_18_32,"@XboxSupport my brother can't install Forza 7 on his Xbox one, he's already tried a power cycle, what can he do please?"
XboxSupport,15_05_2022_18_32,@116041 to express your interest in seeing those games added to back compat!  2 ^JS
116041,15_05_2022_18_32,@XboxSupport who would I message for backwards compatible game suggestions 2 great games have sat on the fourms since 2015 https://t.co/Hv4lYsUelZ
XboxSupport,15_05_2022_18_32,@116041 Thanks for reaching out! Casting your votes on https://t.co/sGGIDmeHwt is the best way  1 ^JS
XboxSupport,15_05_2022_18_32,"@116042 Hey there! We'd like to DM so we can collect more info, let us know when you're Following us? https://t.co/FIM7Ks4Co5  ^FH"
116043,15_05_2022_18_32,@XboxSupport @116042 Yeah have to reboot game when animals become ill and the strikes and crisis come way to quickly
116044,15_05_2022_18_32,"@XboxSupport @116042 Yes there are many bugs in this game, especially when you try and release animals"
116042,15_05_2022_18_32,"@99 Hi, Will you be fixing the bugs and crashes on Zoo Tycoon: Ultimate Animal Collection Xbox One Version?

Many Thanks"
XboxSupport,15_05_2022_18_32,"@116045 We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ"
116045,15_05_2022_18_32,"@XboxSupport I bought Dying Light from the xbox store and when I play it, it continuously freezes. I want my money back unless we can fix"
XboxSupport,15_05_2022_18_32,@116046 You would need to have an active Game Pass subscription during the promo period to qualify: https://t.co/fMB5Tw1NOB  ^EZ
116046,15_05_2022_18_32,@XboxSupport do you need a active game pass in order to receive the mystery gift from the giveaway?
XboxSupport,15_05_2022_18_32,"@116047 Hi! We're an English support team, if that's ok, we're happy to help! Or our chat team can help: https://t.co/qSynA8s7TB ^CO"
116047,15_05_2022_18_32,J'ai un pb quelqu'un a payer des jeux avec ma cb @XboxSupport 😓 pour acheter 210e de jeux...
XboxSupport,15_05_2022_18_32,"@116048 Hello, thanks for reaching out to us. Can you DM us your gamertag and details of what you're seeing? ^CO"
